Model,t+1 Corr,t+1 Pval,t+1 AURC,t+1 Sigma=0.1,t+1 Sigma=0.2,t+1 Sigma=0.3,t+1 Sigma=0.4,t+2 Corr,t+2 Pval,t+2 AURC,t+2 Sigma=0.1,t+2 Sigma=0.2,t+2 Sigma=0.3,t+2 Sigma=0.4,t+3 Corr,t+3 Pval,t+3 AURC,t+3 Sigma=0.1,t+3 Sigma=0.2,t+3 Sigma=0.3,t+3 Sigma=0.4
RUE,0.431 ± 0.038,0.000 ± 0.000,0.095 ± 0.003,0.062 ± 0.007,0.079 ± 0.004,0.089 ± 0.005,0.095 ± 0.006,0.384 ± 0.019,0.000 ± 0.000,0.109 ± 0.005,0.088 ± 0.008,0.096 ± 0.007,0.103 ± 0.004,0.112 ± 0.003,0.366 ± 0.012,0.000 ± 0.000,0.138 ± 0.006,0.101 ± 0.024,0.125 ± 0.006,0.127 ± 0.005,0.134 ± 0.007
MC Dropout,0.171 ± 0.039,0.000 ± 0.000,0.126 ± 0.002,0.109 ± 0.013,0.121 ± 0.002,0.128 ± 0.001,0.127 ± 0.001,0.104 ± 0.058,0.057 ± 0.113,0.152 ± 0.003,0.114 ± 0.004,0.145 ± 0.008,0.154 ± 0.002,0.154 ± 0.002,0.096 ± 0.053,0.198 ± 0.396,0.173 ± 0.003,0.132 ± 0.019,0.167 ± 0.005,0.175 ± 0.004,0.174 ± 0.003
GPR,0.207 ± 0.005,0.000 ± 0.000,0.092 ± 0.017,0.076 ± 0.012,0.086 ± 0.020,0.094 ± 0.017,0.099 ± 0.014,0.162 ± 0.017,0.000 ± 0.000,0.120 ± 0.015,0.102 ± 0.001,0.110 ± 0.014,0.121 ± 0.016,0.126 ± 0.013,0.146 ± 0.013,0.000 ± 0.000,0.140 ± 0.016,0.122 ± 0.002,0.129 ± 0.017,0.140 ± 0.018,0.146 ± 0.015
Infer-Noise,0.106 ± 0.055,0.000 ± 0.000,0.119 ± 0.018,0.111 ± 0.023,0.116 ± 0.020,0.122 ± 0.018,0.122 ± 0.015,0.034 ± 0.068,0.477 ± 0.342,0.147 ± 0.018,0.172 ± 0.036,0.153 ± 0.026,0.146 ± 0.017,0.149 ± 0.015,0.029 ± 0.062,0.383 ± 0.277,0.168 ± 0.019,0.151 ± 0.038,0.164 ± 0.024,0.170 ± 0.019,0.171 ± 0.016
BNN,0.285 ± 0.017,0.000 ± 0.000,0.116 ± 0.001,0.081 ± 0.004,0.104 ± 0.004,0.114 ± 0.002,0.118 ± 0.001,0.203 ± 0.009,0.000 ± 0.000,0.145 ± 0.003,0.108 ± 0.011,0.132 ± 0.004,0.143 ± 0.005,0.145 ± 0.004,0.174 ± 0.012,0.000 ± 0.000,0.167 ± 0.001,0.124 ± 0.006,0.157 ± 0.003,0.165 ± 0.003,0.168 ± 0.002
DER,0.242 ± 0.035,0.000 ± 0.000,0.074 ± 0.002,0.057 ± 0.003,0.063 ± 0.002,0.071 ± 0.001,0.079 ± 0.001,0.160 ± 0.066,0.000 ± 0.000,0.112 ± 0.002,0.093 ± 0.003,0.100 ± 0.004,0.108 ± 0.004,0.116 ± 0.003,0.120 ± 0.020,0.000 ± 0.000,0.139 ± 0.004,0.120 ± 0.002,0.132 ± 0.009,0.142 ± 0.005,0.149 ± 0.003
