,Model,t+1 Corr,t+1 Pval,t+1 AURC,t+1 Sigma=0.1,t+1 Sigma=0.2,t+1 Sigma=0.3,t+1 Sigma=0.4,t+2 Corr,t+2 Pval,t+2 AURC,t+2 Sigma=0.1,t+2 Sigma=0.2,t+2 Sigma=0.3,t+2 Sigma=0.4,t+3 Corr,t+3 Pval,t+3 AURC,t+3 Sigma=0.1,t+3 Sigma=0.2,t+3 Sigma=0.3,t+3 Sigma=0.4
0,RUE,0.5019449027331147,3.86844924546296e-187,0.029994136856040826,0.020120580029817255,0.025291695551693548,0.026051750802031353,0.02917214249855735,0.49859041923891184,2.3958447263013456e-184,0.03936546690230236,0.02705485665679737,0.03329244210796325,0.034313597331910306,0.03851220186855485,0.4909544289627457,5.022950303803912e-178,0.05104787856519426,0.03880154086702303,0.04330443259347781,0.0448712544751175,0.04921596429248544
1,MC Dropout,0.3897318122982499,4.47838715150584e-107,0.04894162999554784,0.036872103876414285,0.039271673260465045,0.044466532227121096,0.050479788397324046,0.3959662983476744,8.279184078451486e-111,0.0644362513946419,0.05165258660096833,0.05301806172453028,0.058668193861152004,0.06610159787714437,0.3753419981997817,6.5398957725866574e-99,0.06709579392103579,0.058519342843227115,0.05671281786425787,0.06127807974505031,0.06777254052863263
2,GPR,0.4514321310438673,2.340558223443682e-147,0.027551528565963813,0.024029298202103026,0.026821535298500173,0.029748308887610063,0.03131739055580393,0.37582082340405604,3.813122265131354e-99,0.04290586473866975,0.03629742261571887,0.04183781207459068,0.04674884793363666,0.04895818770441659,0.35050076498437516,1.2097348166024012e-85,0.05624627397716478,0.04683278978832786,0.055027562942334456,0.0604318735119044,0.06418341962520388
3,Infer-Noise,-0.01607903544806086,0.38387578273393186,0.05068423539384401,0.04624123236140974,0.0520683201212386,0.04826642084230971,0.049301274122481,0.018678344920231724,0.3116619327532234,0.06358268839947852,0.039701816624020114,0.055673503667951034,0.0633978074504793,0.06129879809626726,-0.005935298187062003,0.7478133099433933,0.08169323448298241,0.10497069335519016,0.053896213909485624,0.0767299454437536,0.08782454598483364
4,BNN,0.7970817433463844,0.0,3.4197991762157094,2.494241919647784,2.8561142619327518,3.2842493292044277,3.5995240692599997,0.8232518052907829,0.0,3.346205111318148,2.3222907000637503,2.5989224458129407,3.182056843994555,3.612837104206667,0.7503915262484189,0.0,3.3454511280819705,2.506013988690402,2.8040351067532296,3.172389150518165,3.494128222519648
5,DER,-0.36364521246614906,1.8674184230054797e-92,0.11579861898654882,0.12091004106431313,0.11133609321785758,0.0994150946165026,0.09499880587239247,-0.26824359269639225,1.4514044353199185e-49,0.09862925855927668,0.13911005470090324,0.1379288696251434,0.1161039251462197,0.09944289710822102,-0.34785299343547416,2.6796221654503235e-84,0.1324190349801274,0.15300568780959894,0.1352081350075446,0.11613386102541676,0.11037247797277103
