Time Horizon,Model,Corr,Pval,AURC,Sigma=0.1,Sigma=0.2,Sigma=0.3,Sigma=0.4
t+1,RUE,0.4681338000886015,0.0,0.094979296371845,0.05753307936682656,0.07785638397589358,0.08998756835629987,0.09595727477783687
t+1,MC Dropout,0.23363073579537932,7.354514856280807e-149,0.12642012683129733,0.09864148702179026,0.12087046061601309,0.12843495791059598,0.12842508553732898
t+1,GPR,0.20546406663464933,7.484082051902045e-115,0.08356599154292194,0.07272559791393435,0.0756466532324065,0.08576958826538357,0.09192942840946705
t+1,Infer-Noise,0.12029198087422348,5.044900480693796e-40,0.12952374516276743,0.11241510322050081,0.12930717934134967,0.13036633449669557,0.13022476137194766
t+1,BNN,0.2776562945927638,6.963347275962507e-212,0.11681484544885315,0.07632309578730104,0.10335273386052578,0.11457841560831257,0.11793884092564848
t+1,DER,0.2580223667999749,2.9914530981284984e-182,0.07314902609784046,0.054157737434511175,0.06206470225296558,0.07104942277384181,0.07983757314900299
t+2,RUE,0.3574865878513308,0.0,0.11773507210540933,0.10156092333138791,0.10872077876500423,0.11031201813052283,0.11747860433394695
t+2,MC Dropout,0.13148581362089318,1.5256709554725593e-47,0.15290314569766128,0.11362818131924067,0.15575916391199507,0.15683859116541787,0.15302788458780037
t+2,GPR,0.16923871882644406,5.240699588285883e-78,0.11155432565552267,0.10143819181362267,0.10261501522749127,0.11298659707601462,0.11903228105370255
t+2,Infer-Noise,0.01083234798745216,0.2347874012611851,0.1578019978193718,0.1916631494590152,0.16682285506543978,0.15521416882632347,0.1582167029356508
t+2,BNN,0.19945846655978067,3.2442453074608014e-108,0.1433837864109454,0.10090658613776775,0.13379199258085772,0.14397521471655747,0.14302413091105418
t+2,DER,0.09586098350231753,5.757872913754265e-26,0.11184614514446103,0.09691944321618692,0.10162903131620314,0.10847347051750003,0.11712581653293895
t+3,RUE,0.34884709337332515,0.0,0.1435912960296345,0.08159852737844127,0.13171103215359278,0.13258337557725317,0.13926082040618043
t+3,MC Dropout,0.13229160679322785,4.1282166713139536e-48,0.17428244837389048,0.11749478865111054,0.16777460379059358,0.1803525087060151,0.17494073028983492
t+3,GPR,0.14898684746587587,1.1189785063884562e-60,0.13264821642854763,0.12327171804036154,0.1208223576189914,0.13073867901306951,0.13882641826318254
t+3,Infer-Noise,0.008660085546162953,0.3421894911168474,0.180775072732567,0.15069272222440094,0.17345981302280356,0.18080714895005368,0.18321411158918377
t+3,BNN,0.1784478068187831,1.1788273027430735e-86,0.16628085997623526,0.1293843350345622,0.16246623856693543,0.16531028354849625,0.16703408896269437
t+3,DER,0.1229843649075849,9.049364819857711e-42,0.14386139478626592,0.12115463417661096,0.1433421823438039,0.14742364124437138,0.1529752171395021
