,hidden_width,n_hidden_layers,loss,time/s,best_hyperparameter
0,128,2,0.10964858531951904,127.248868227005,False
1,128,3,0.11141626536846161,144.2223448753357,False
2,128,4,0.11305007338523865,153.37417674064636,False
3,256,2,0.1092086210846901,215.6854796409607,True
4,256,3,0.11642811447381973,90.9220802783966,False
5,256,4,0.11037953943014145,72.08155655860901,False
6,512,2,0.11033526062965393,117.01056480407715,False
7,512,3,0.11394544690847397,99.54048562049866,False
8,512,4,0.12711314857006073,66.31938290596008,False
