,decoder_depth,decoder_width,encoder_depth,encoder_width,loss,epochs,time/s,best_hyperparameter
0,2,128,1,256,0.1440540999174118,2,12.789711713790894,True
1,2,128,1,512,0.1448984146118164,1,12.83507776260376,False
2,2,128,1,1028,0.14729651808738708,0,11.710281372070312,False
3,2,128,2,256,0.14980493485927582,1,13.685250043869019,False
4,2,128,2,512,0.15006330609321594,3,14.338346242904663,False
5,2,128,2,1028,0.15146039426326752,4,15.189408540725708,False
6,2,128,3,256,0.15964405238628387,4,15.82185697555542,False
7,2,128,3,512,0.1535036712884903,0,13.713464260101318,False
8,2,128,3,1028,0.15045379102230072,1,14.131200551986694,False
