,decoder_depth,decoder_width,encoder_depth,encoder_width,loss,corr,epochs,time/s,best_hyperparameter
0,1,256,1,256,0.00805375911295414,0.2211209750534929,15,15.981235027313232,False
1,1,512,1,256,0.00805375911295414,0.2211209750534929,15,16.241653442382812,False
2,1,1028,1,256,0.00805375911295414,0.2211209750534929,15,16.07108211517334,False
3,2,256,1,256,0.023094814270734787,0.24787595480870084,172,84.14114689826965,False
4,2,512,1,256,0.019414644688367844,0.24505858136041614,244,113.37253737449646,False
5,2,1028,1,256,0.02314453199505806,0.2660261115548236,99,51.833678245544434,True
6,3,256,1,256,0.07338070869445801,0.20590117398546254,52,35.64645504951477,False
7,3,512,1,256,0.07567904144525528,0.2060084021640963,33,28.170116186141968,False
8,3,1028,1,256,0.07094421237707138,0.20454767433423046,49,34.366777181625366,False
