,width,loss,epochs,time/s
0,64,0.131901,218,15.522229
1,128,0.136395,112,9.05344
2,256,0.130557,216,15.668682
3,512,0.134768,114,10.004214
4,1024,0.134714,127,13.216407
5,1536,0.1401,74,11.040206
