,decoder_depth,decoder_width,encoder_depth,encoder_width,loss,epochs,time/s,best_hyperparameter
0,2,128,1,256,0.10457001626491547,10,16.565730094909668,False
1,2,128,1,512,0.10384029895067215,21,21.9644033908844,True
2,2,128,1,1028,0.1054847463965416,9,16.413683652877808,False
3,2,128,2,256,0.10966595262289047,5,15.398619413375854,False
4,2,128,2,512,0.1086600050330162,7,16.48952293395996,False
5,2,128,2,1028,0.10724873095750809,2,13.962679386138916,False
6,2,128,3,256,0.11335375905036926,4,16.029114484786987,False
7,2,128,3,512,0.11252821236848831,3,15.651073455810547,False
8,2,128,3,1028,0.11392274498939514,1,14.584648132324219,False
