Model,t+1 Corr,t+1 Pval,t+1 AURC,t+1 Sigma=0.1,t+1 Sigma=0.2,t+1 Sigma=0.3,t+1 Sigma=0.4,t+2 Corr,t+2 Pval,t+2 AURC,t+2 Sigma=0.1,t+2 Sigma=0.2,t+2 Sigma=0.3,t+2 Sigma=0.4,t+3 Corr,t+3 Pval,t+3 AURC,t+3 Sigma=0.1,t+3 Sigma=0.2,t+3 Sigma=0.3,t+3 Sigma=0.4
RUE,0.25598694002878203,1.4099766274436554e-182,0.02613476184454451,0.02187527761541105,0.02349654310535451,0.024850595111189037,0.026186874278460108,0.23601460603073984,1.0289538307267179e-154,0.02865051887981942,0.023887733255426813,0.025539483636007283,0.027717440029829028,0.028809851403701018,0.21559536560300147,8.024431810615875e-129,0.03170510260392301,0.029056838170287945,0.02890522512365938,0.030355579074892707,0.03155517901002053
MC Dropout,0.17317350333081347,4.154132664017365e-83,0.027397869340141337,0.024880291765253915,0.025663229549401242,0.02671309867440933,0.027413875024336492,0.14666931829998278,6.885728050308941e-60,0.03033993362207713,0.029647660361178624,0.02947300166627763,0.02904711915892391,0.029768161407791722,0.15264775844041514,8.937013420015132e-65,0.03272998798326389,0.032697072831709584,0.03097151423556786,0.031706422073671144,0.032438631629116345
GPR,0.17464160131974732,1.6370538320614737e-84,0.023822306174384182,0.022179650701302775,0.02388393695015118,0.024650383150546476,0.025129025931595217,0.1479376046881761,6.57948414818059e-61,0.027877960211346208,0.02630567999529681,0.027819659537483322,0.028581100868963528,0.029141590250285655,0.1471993501198366,2.5875476741548897e-60,0.030298934907424434,0.02896848129883754,0.03007247652171887,0.030991393193035066,0.03159674211025234
Infer-Noise,0.03861776423869695,1.9037915547088427e-05,0.029223595095846957,0.026402842247368802,0.026249203739478394,0.028822059281112436,0.028972740454234064,0.02381558346554002,0.008380824604351056,0.031969659053818225,0.03175918026284983,0.032287156847614934,0.0322675133677446,0.03151744126030631,0.03050251454160655,0.0007331721410525592,0.03458695633529621,0.03482435915592528,0.03331468875831239,0.0342785185822636,0.03443202819352995
DER,0.21496045185866972,4.658635524575333e-128,0.02547275759773241,0.021551183830067225,0.02334000535534536,0.024885113066310863,0.026029192755015196,0.1748131324583356,1.1198355932632648e-84,0.028518638970037348,0.026986589557569676,0.027084446602240367,0.028407166215785363,0.0288252047929833,0.17454270244289824,2.0373504835552085e-84,0.03390366766100603,0.028803306547818635,0.03207326926394248,0.033308742690160986,0.033948203216317835
