,num_layers,width,loss,epoch,time/s,best_hyperparameter
0,1,64,0.12763393547485477,146,667.5824165344238,False
1,1,128,0.12763393547485477,146,663.5801012516022,False
2,1,256,0.12763393547485477,146,663.7595252990723,False
3,2,64,0.022188451413673854,277,1269.673931837082,False
4,2,128,0.015070039064983732,362,1653.0164053440094,True
5,2,256,0.3737915126870331,100,478.84397864341736,False
6,3,64,0.6542947846995568,2,41.8437762260437,False
7,3,128,0.9501668852814541,3,46.69550704956055,False
8,3,256,1.0098469510467376,7,65.43562722206116,False
