,num_layers,width,loss,epoch,time/s,best_hyperparameter
0,1,64,0.13104603010502736,148,676.3814907073975,False
1,1,128,0.13104603010502736,148,674.5898549556732,False
2,1,256,0.13104603010502736,148,674.371919631958,False
3,2,64,0.02199311905517782,267,1228.8426492214203,False
4,2,128,0.017080039409269065,356,1642.7189631462097,True
5,2,256,0.296267221492395,148,697.9116082191467,False
6,3,64,0.6062452854183241,1,37.35927224159241,False
7,3,128,0.8312003326962404,1,37.56688618659973,False
8,3,256,0.8316995307755426,7,65.80157208442688,False
