Time Horizon,Method,PICP,PINAW,PINAFD,CovP,CWFDC,CWC
t+1,RUE Gauss Copula,0.9573818656655513,0.2193275301855219,0.054714858740701,8.900816598235378e-05,0.36305055490857663,0.37502424020017633
t+1,RUE Cond Gauss,0.9515547212927447,0.20474146172063018,0.054363921718879604,8.491793070774964e-05,0.3440233141472594,0.28537727049123307
t+1,RUE Weighted,0.9457928670529666,0.21820728371741388,0.051758926720032086,0.00023349350394014957,0.5034597143775954,0.28168449814887453
t+1,RUE KNN,0.9558801926058924,0.2364028052149365,0.05618030313828355,0.00018685138492658326,0.4794344932798033,0.3222898482660597
t+1,RUE CP,0.9500204031665715,0.23494982505197112,0.04946870556254209,5.24558502750662e-05,0.33687438088957944,0.3045945474227212
t+1,IN CP,0.9663755814902473,0.25356037671953546,0.05744326999599687,0.00025370215888048783,0.5647058055960201,0.36450746750353397
t+1,MCD CP,0.9592426344568677,0.27669589158905267,0.05278629436587754,9.099372029397822e-05,0.4204759062489084,0.45487111483788445
t+1,GPR CP,0.9586876683261242,0.23223013635806375,0.055878119307068666,0.00010667683865900567,0.3947850943241381,0.3334915600018907
t+1,BNN CP,0.9511793030278298,0.3877015053347909,0.05792889548720802,0.0001293612834013725,0.5749916842233714,0.4812931457493132
t+1,DER CP,0.9583775401942383,0.25662387114457297,0.05782887094069546,8.384409371771755e-05,0.398296835802986,0.4251746702950599
t+2,RUE Gauss Copula,0.9528768464865747,0.24419695136690805,0.05415842424856633,3.826598327254102e-05,0.3366213588880154,0.34895676024022226
t+2,RUE Cond Gauss,0.9456133191871379,0.22612061452911827,0.05552564048998447,0.00018310488064858516,0.4647511356676879,0.32972271493448213
t+2,RUE Weighted,0.9446829347914797,0.2488475960655709,0.053078941615819275,0.00019929518979687233,0.5012217274782625,0.3318437882928276
t+2,RUE KNN,0.9510650452950298,0.2592408879141116,0.054908701076168964,0.0002078600291619581,0.5220096181522387,0.3183719710855056
t+2,RUE CP,0.9522565902228026,0.27985437597588864,0.051892875247321224,9.653825025414155e-05,0.42828550147735145,0.40474194032990446
t+2,IN CP,0.9673059658859054,0.2816014277546358,0.058679937321239384,0.0002718167445692541,0.6120981096451292,0.39845945051427634
t+2,MCD CP,0.9625071411083,0.27631031076301965,0.055992276700079155,0.00015333825750623312,0.4856408449693319,0.4233740591500859
t+2,GPR CP,0.9554068391414348,0.2472194648539871,0.057993359752620134,8.603609550457736e-05,0.3912489201111847,0.35948889963510056
t+2,BNN CP,0.949057373704399,0.3735119716640166,0.057476725730535784,0.0001384314325885673,0.5694201299831197,0.4753673347211535
t+2,DER CP,0.9550477434097772,0.29667197141965485,0.05759567053278029,6.798383996606749e-05,0.4222514819185027,0.40352176212289487
t+3,RUE Gauss Copula,0.9529584591528607,0.257600653435334,0.05706920668098753,9.333734193640385e-05,0.40800720205272534,0.35426700910302483
t+3,RUE Cond Gauss,0.9446013221251939,0.2391391064500265,0.0554170822948815,0.00019084289371912072,0.48539908246402874,0.35876680782087833
t+3,RUE Weighted,0.9458908022525095,0.2751125505552156,0.053843927634567114,0.0004031806627349462,0.7321371409247288,0.3385786272305097
t+3,RUE KNN,0.95129356076063,0.2821786783532108,0.055653651810658525,0.00032408946216893177,0.661921792332801,0.3364795306566413
t+3,RUE CP,0.9499551130335429,0.2973589983243972,0.05248466577541285,0.00018051683263406798,0.530360496733878,0.43373444496539626
t+3,IN CP,0.9693952501428221,0.3037487463816466,0.06044978439550384,0.0003553698274276104,0.7195683582047607,0.41984780920469833
t+3,MCD CP,0.9557985799396066,0.2876400948325395,0.056255833767156024,0.00013397004051839487,0.4778659691180904,0.34778526557929396
t+3,GPR CP,0.9541826491471477,0.26096362433605935,0.05794111078019718,8.143153724700432e-05,0.4003362723632609,0.32805449114414886
t+3,BNN CP,0.9524851056884028,0.383789424732839,0.057867889891051405,0.00015929083880869674,0.6009481534325872,0.5107361136634033
t+3,DER CP,0.9575614135313801,0.2983129572425971,0.057054679885575076,0.00013742524359362787,0.49279288072180005,0.4130879512730365
