Time Horizon,Model,Corr,Pval,AURC,Sigma=0.1,Sigma=0.2,Sigma=0.3,Sigma=0.4
t+1,RUE,0.2887766916410685,5.660658779435729e-234,0.02403581750181189,0.01901025897828392,0.02146423814912652,0.023109595852741815,0.024496616425107046
t+1,MC Dropout,0.19019046237323675,3.679213078300624e-100,0.025760216555484647,0.02342540099890765,0.024353754045779965,0.025061031359130858,0.025807019667696593
t+1,GPR,0.17350233627135994,2.0183661300663768e-83,0.02381710101591932,0.022226924489045684,0.02387991829355403,0.024637277066761172,0.025099963355902886
t+1,Infer-Noise,0.05599757361046979,5.547111936951149e-10,0.02762536165564584,0.030501079300109934,0.027920692407110783,0.027093101323760988,0.02732361896705858
t+1,BNN,0.12613539457118042,1.2281530711104998e-44,0.050557140672664466,0.053513430265645326,0.04834479170897972,0.05038961560994835,0.05045006131612248
t+1,DER,0.22578227674945495,2.0434870740661668e-141,0.025316055186328873,0.022395807259643415,0.023733431813325337,0.024786466357278016,0.025823175681614945
t+2,RUE,0.21919281887005523,3.3870486571047716e-133,0.028845609673381362,0.026716728834065288,0.026432853926096435,0.02787712175035642,0.028998925706243905
t+2,MC Dropout,0.14234486380132244,1.7646520379434408e-56,0.030503653627383095,0.03153209000043167,0.02791052705548137,0.029275044563249305,0.030039974322458366
t+2,GPR,0.14840667243600797,2.7462090309834345e-61,0.02788125766368915,0.026353876566825876,0.02778294003842768,0.028600966148120136,0.02915617332466263
t+2,Infer-Noise,0.039718374526502315,1.093317781254382e-05,0.03182232077786899,0.030875305062708594,0.032625855012832786,0.03263335794579173,0.031082702550979384
t+2,BNN,0.1130908776020972,3.619254508314165e-36,0.050852854483319554,0.05379915748658087,0.04845385940897063,0.05078680355419572,0.05097425349036405
t+2,DER,0.1775782022646016,2.329085068927522e-87,0.028795782670287522,0.028110327007552484,0.027219634198838626,0.02858139835958069,0.02912586083285194
t+3,RUE,0.23742657724912844,1.3362608947865919e-156,0.030402572705390332,0.026687723854833596,0.02791842565471478,0.029415822908912204,0.030645422455245482
t+3,MC Dropout,0.12299269460397236,1.643420318374074e-42,0.03245363841920593,0.031935081057189826,0.02880262510044506,0.0303653637951339,0.031807820576927305
t+3,GPR,0.14589360298909848,2.865324016339876e-59,0.03030465457343965,0.029007046868705408,0.03007091310255886,0.030974573879725045,0.031623347631770445
t+3,Infer-Noise,0.031059036176723627,0.0005849357053106282,0.03394392672640545,0.03486453555025277,0.035567705235688404,0.0337472991953241,0.03394032831103708
t+3,BNN,0.10586707667615089,7.011041815267368e-32,0.051173436132337734,0.0523682752988851,0.04907825746521542,0.05108145576071353,0.05113056999407623
t+3,DER,0.21241134996608457,5.131321103328952e-125,0.03161699446169402,0.029304978747440365,0.030737154780123715,0.03046124911945158,0.03149285216199289
