,Model,t+1 Corr,t+1 Pval,t+1 AURC,t+1 Sigma=0.1,t+1 Sigma=0.2,t+1 Sigma=0.3,t+1 Sigma=0.4,t+2 Corr,t+2 Pval,t+2 AURC,t+2 Sigma=0.1,t+2 Sigma=0.2,t+2 Sigma=0.3,t+2 Sigma=0.4,t+3 Corr,t+3 Pval,t+3 AURC,t+3 Sigma=0.1,t+3 Sigma=0.2,t+3 Sigma=0.3,t+3 Sigma=0.4
0,RUE,0.4576112024341604,0.0,0.09540706056142015,0.06052328034847718,0.08191258231608094,0.08756483871915915,0.09149669489225333,0.4105235299714977,0.0,0.10420645472511789,0.08040066967697274,0.09104181002341834,0.10293563455945703,0.11283870721588303,0.3774022955370348,0.0,0.13341662741694513,0.1367531042985809,0.11879828788023011,0.12309542013249716,0.13137103013544846
1,MC Dropout,0.17346308088534473,6.494357850750513e-82,0.12548890643335409,0.09644547662214084,0.11950865071122549,0.12886853701686626,0.12685164090232803,0.14449339651953605,3.8261998671750935e-57,0.14870380079693113,0.1197380646632172,0.13798172834970945,0.15309619369539446,0.15068965089101793,0.09272611899158188,2.1511450690448518e-24,0.1730227366053797,0.11860205894033748,0.17335718978388012,0.1791124387515174,0.17571610109372268
2,GPR,0.20605313124261848,1.628027420846356e-115,0.08420745088727051,0.07484166078447035,0.075832518906356,0.08606903184429385,0.09256293302224024,0.16847349132946846,2.607609295497302e-77,0.11193450697535211,0.1024845981518885,0.10223188982481078,0.11217666495544555,0.11849519202276004,0.15423897983268695,5.966215396944401e-65,0.13319736397818094,0.1250049333819275,0.12154758780876311,0.13129152069431604,0.1385971741366166
3,Infer-Noise,0.06523408763479739,7.925124875925453e-13,0.13060430737702924,0.13342059842865991,0.12020018212686144,0.1364948748884379,0.1339965213304624,-0.0010708659017248804,0.9065021820375587,0.15466362305386508,0.17050635175948975,0.16319640570119948,0.15501936830831908,0.1528941472475934,-0.008306014438400499,0.36228920205944026,0.17519658467159402,0.1996569330708676,0.17507918642051226,0.18222939760765797,0.17451942772251675
4,BNN,0.3029893896016045,6.828566133097371e-254,0.11467468909026743,0.08034730032444465,0.10278923781416509,0.11197584296936976,0.11692297034236651,0.21689738565084746,4.4329904131752054e-128,0.14034951751777888,0.10674670139791725,0.12980173053482824,0.13341593598932766,0.14149428951915555,0.19176357648828982,5.071978048121418e-100,0.16637703309799512,0.11775653958019382,0.15249338567894904,0.1620517362385781,0.1672925823068956
5,DER,0.2798595204978217,2.2923919229274554e-215,0.07474808081292629,0.05994217355097731,0.06490258024127334,0.07145303898698888,0.07845767851798315,0.22774792426519852,2.325241500589642e-141,0.11096167714493799,0.0955774995013781,0.09843077586450538,0.10568976697959573,0.11424229191677863,0.13241665263332184,3.3677977084851337e-48,0.13560140161069445,0.11644976448205199,0.12877095019650003,0.14257810736724216,0.14816789430116772
