Model,t+1 Corr,t+1 Pval,t+1 AURC,t+1 Sigma=0.1,t+1 Sigma=0.2,t+1 Sigma=0.3,t+1 Sigma=0.4,t+2 Corr,t+2 Pval,t+2 AURC,t+2 Sigma=0.1,t+2 Sigma=0.2,t+2 Sigma=0.3,t+2 Sigma=0.4,t+3 Corr,t+3 Pval,t+3 AURC,t+3 Sigma=0.1,t+3 Sigma=0.2,t+3 Sigma=0.3,t+3 Sigma=0.4
RUE,0.277692337451413,8.532388573243712e-216,0.02525259868929494,0.020557124293012513,0.02301935403309402,0.024030635488741993,0.025279227544623327,0.23266830796258894,2.71189288709966e-150,0.028605401536620067,0.02513425516229471,0.02588972114071701,0.027380186546846538,0.028868882637229105,0.23247488644484418,4.860264291568413e-150,0.030381347945507592,0.028864954494169513,0.027718357504724796,0.02935852265473812,0.030438767152002482
MC Dropout,0.2104938879958954,9.383190452715973e-123,0.026323420925759816,0.02336131436510665,0.023832030129451787,0.02511256295874644,0.026243594807861585,0.16294826968819165,1.1321947477296343e-73,0.03017111436661779,0.02731334646813376,0.027000742341708656,0.028901426267510546,0.029302343118504867,0.11439960649999431,5.639968270297386e-37,0.032460192347631936,0.03428317570528823,0.030905608650006026,0.031381064740204245,0.03204952347073038
GPR,0.17335543579612583,2.7868885328737847e-83,0.02381234917156738,0.022199830026004546,0.023900138739267815,0.02463804593025671,0.025132542313524887,0.14846036544256136,2.4843824266791347e-61,0.027876944070678065,0.02632263642239937,0.02782196287721212,0.028592735035184152,0.02916758979342969,0.1467310428569766,6.145133779934905e-60,0.03031388666467334,0.02897284399044514,0.030065696627544033,0.03099664220535755,0.03160764477339698
Infer-Noise,0.07702697896918646,1.3634653369017926e-17,0.02837500118088289,0.023426250155019826,0.028276797229544057,0.028591944937267504,0.027832896380964367,0.034487086667657325,0.00013441005405922594,0.032185106301859306,0.048996737506321934,0.03125815198897719,0.03291690384656292,0.03274415028077415,0.016532130453347813,0.06725981947438615,0.0341667161573066,0.04660373445217274,0.03417624648878619,0.035209645499568086,0.03405054208496645
DER,0.24550200318569154,1.2421799718619075e-167,0.025816509394003432,0.02271901079801887,0.024764210074749594,0.026089768162691776,0.026777605024959156,0.15961176549630707,1.0054575556607686e-70,0.029840118171898647,0.03210168444726317,0.028192211721269064,0.029133775561728737,0.029783087494093245,0.17389589191589,8.49165628126653e-84,0.03332139178611719,0.02966647766147809,0.03209529364915553,0.03264640578257707,0.033559591452853116
