Time Horizon,Method,PICP,PINAW,PINAFD,CovP,CWFDC,CWC
t+1,RUE Gauss Copula,0.9557006447400637,0.2230105057614608,0.05338961351704339,6.087529880323395e-05,0.3372754180817382,0.38987262279013496
t+1,RUE Cond Gauss,0.9484044723741125,0.2066367625137906,0.05210430460315796,0.00011455207130888849,0.373293138425837,0.2973157408173578
t+1,RUE Weighted,0.9462825430506813,0.22163048808401156,0.05153413054263487,0.00018888571101553615,0.4620503296421826,0.2862744842378694
t+1,RUE KNN,0.952599363421203,0.23061229896546837,0.05467593152963324,0.0001282051024081769,0.4134933329032785,0.3304245080627453
t+1,RUE CP,0.9548355504774341,0.24039612114691583,0.05055530749698236,5.464750304505614e-05,0.34559893168895434,0.38040481284546224
t+1,IN CP,0.9668815800212194,0.25648037061306994,0.05716756096495847,0.00028135390497159335,0.5950018365496218,0.3687345361469777
t+1,MCD CP,0.9604015343181261,0.2689850598647222,0.05185870467680707,0.00010411165791013024,0.4249554224516595,0.43042461009420796
t+1,GPR CP,0.9587529584591529,0.23214941738331665,0.05588081770164681,0.00010616953331295911,0.39419976839792253,0.33295326471657327
t+1,BNN CP,0.9571859952664654,0.3970874610236922,0.058035377714543944,0.0001048584234645541,0.5599812622027902,0.5867649267521233
t+1,DER CP,0.9612013384477273,0.27239777764217815,0.05992991715262008,0.00013116700077594375,0.463494695570742,0.431688837651516
t+2,RUE Gauss Copula,0.9537419407492044,0.24536054609459584,0.055089645549529345,4.456038530370182e-05,0.345010576947827,0.342339405609889
t+2,RUE Cond Gauss,0.9456622867869093,0.22765898888730018,0.05536351841375274,0.00016616475005006901,0.44918725735112197,0.3348478466495976
t+2,RUE Weighted,0.9491063413041703,0.26082608748862735,0.0540788332568581,0.00020440811910086063,0.5193130398463461,0.3242778394386278
t+2,RUE KNN,0.9529747816861178,0.2613949278828045,0.056302716500224025,0.00016607378186668113,0.4837714262497096,0.31879466428003145
t+2,RUE CP,0.9484860850403983,0.26085693996396786,0.05241617726790461,9.928187720109182e-05,0.41255499443296423,0.345432816020469
t+2,IN CP,0.9631600424385864,0.2746762509105838,0.058959151954092515,0.00019232392149840633,0.5259593243630827,0.41557987571754734
t+2,MCD CP,0.9565330939361789,0.26813567154004614,0.05636386921506017,8.189822875203845e-05,0.4063977695071447,0.414428210782925
t+2,GPR CP,0.9552436138088632,0.24697599274161447,0.057984915990220764,8.756811971070904e-05,0.3925290284425443,0.3590383998309765
t+2,BNN CP,0.9550640659430343,0.38544427593125113,0.05778622080505681,0.00012386889283169902,0.567099389568007,0.5782131428946536
t+2,DER CP,0.9562066432710357,0.29629679679020293,0.05834800504133779,7.117211440594574e-05,0.4258169162374864,0.4679422320004759
t+3,RUE Gauss Copula,0.9540520688810904,0.2598906294697266,0.057752484534834544,7.318254749265406e-05,0.39082566149721515,0.411244334106167
t+3,RUE Cond Gauss,0.9443891291928507,0.2385971741393762,0.055421429508971075,0.00017454124552491548,0.46855984917326277,0.3628515956748193
t+3,RUE Weighted,0.9469517669142251,0.27279226145380087,0.05419910848611324,0.00026401166431032537,0.5910030342502395,0.33958695691670393
t+3,RUE KNN,0.9539867787480617,0.28003696654293025,0.05662003425639376,0.00016966682795597666,0.5063238287553007,0.3395727473340246
t+3,RUE CP,0.9505590467640577,0.29709102554155853,0.052332823334542,0.0001563792228485304,0.505803071724631,0.4237569683296446
t+3,IN CP,0.9630784297723007,0.2891909262345487,0.058293799607546305,0.00018271001201983558,0.5301947378619305,0.43747462120607084
t+3,MCD CP,0.9541010364808618,0.290066571192943,0.05602477532622522,0.00013382273941356767,0.4799140859327359,0.35408396836800043
t+3,GPR CP,0.9541010364808618,0.26080784469192664,0.05788485883910368,8.090805190512322e-05,0.39960075543615353,0.32811707303724263
t+3,BNN CP,0.9588182485921817,0.39527727822227676,0.057746198416450734,0.00017168236574744764,0.6247058423861752,0.5653920745416678
t+3,DER CP,0.9582143148616666,0.3061310339949507,0.057614404602979744,0.00010626384513125125,0.4700092837291816,0.500805157374626
