Time Horizon,Method,PICP,PINAW,PINAFD,CovP,CWFDC
t+1,RUE Gaussian Copula,0.9573981881988084,0.21915362208007347,0.0546178544738035,6.90499879279463e-05,0.34282146448182327
t+1,RUE Conditional Gaussian,0.9513425283604015,0.20475254365053233,0.05421967304862052,7.766674288644482e-05,0.33663895958559764
t+1,RUE Weighted,0.9656410674936751,0.30612016749047943,0.053597481495044154,0.00029056642639941385,0.6502840753849374
t+1,RUE KNN,0.9714845343997389,0.27538612580349814,0.06056944659792437,0.00048713519492182714,0.8230907673232497
t+1,RUE Conformal,0.9476373133110257,0.22910873430267276,0.04840805364248354,6.710400307097551e-05,0.34462079101613186
t+1,Infer-Noise Conformal,0.9642699747000734,0.24591190581979339,0.057975610079254905,0.00020297292176589093,0.5068604376649392
t+1,MC Dropout Conformal,0.9569248347343506,0.2709436063013197,0.052357789323713176,7.171420421199566e-05,0.3950155998370285
t+1,GPR Conformal,0.9586550232596099,0.2321119157073337,0.055784994681659275,0.00010391988779320891,0.3918167981822019
t+1,BNN Conformal,0.9563209010038358,0.39648606625022775,0.05694587294058713,9.370176350564968e-05,0.5471337026964646
t+1,DER Conformal,0.9595690851220109,0.24185102471381717,0.057806488261609036,8.92191693266611e-05,0.38887668230208733
t+2,RUE Gaussian Copula,0.9540847139476047,0.24530876830561352,0.05608095344544593,5.381289447357082e-05,0.3552026162246303
t+2,RUE Conditional Gaussian,0.9461193177181098,0.2265657691318026,0.055556691821180594,0.00017270845936100522,0.45483092031398853
t+2,RUE Weighted,0.9627193340406432,0.33565522181051505,0.05357999334310702,0.0002625716420169405,0.6518068571705626
t+2,RUE KNN,0.9712396964008814,0.32273414532753997,0.05856150799638914,0.0005053574589757484,0.8866531122996776
t+2,RUE Conformal,0.9502489186321718,0.2702484051056885,0.05153654365260636,8.16095704861853e-05,0.40339451924448017
t+2,Infer-Noise Conformal,0.9619358524442994,0.2692696679365295,0.05770134553524477,0.00015040120061403866,0.4773722140858129
t+2,MC Dropout Conformal,0.9592263119236106,0.2949258704347579,0.054414119446740995,0.0001320900651422011,0.4814300550237
t+2,GPR Conformal,0.9553741940749205,0.2471326432122353,0.057993000528552566,8.703307418408928e-05,0.39215871792487716
t+2,BNN Conformal,0.9533991675508039,0.3838349262408331,0.05690135235787423,0.00012597233491800126,0.5667086135167085
t+2,DER Conformal,0.9562556108708071,0.2931269585142463,0.057991281061004527,6.806211032957474e-05,0.4191803499048256
t+3,RUE Gaussian Copula,0.9535460703501183,0.25810554726004664,0.05725470320050643,6.118593980342203e-05,0.3765461902639751
t+3,RUE Conditional Gaussian,0.9439810658614217,0.23710868848324324,0.05530650812106151,0.00018366517261691578,0.4760803692212206
t+3,RUE Weighted,0.9644005549661306,0.36374173215029676,0.05536670506750392,0.00030866422464313845,0.727772661860939
t+3,RUE KNN,0.9733616257243124,0.3512419115148869,0.06167891534362272,0.0006387181639349448,1.0516389907934542
t+3,RUE Conformal,0.9480453766424549,0.2837519173888737,0.05144301953516448,0.00014170948962017528,0.4769044265442134
t+3,Infer-Noise Conformal,0.9580510895290949,0.27980958308895104,0.05678626300560395,0.0001146802937128835,0.4512761398074385
t+3,MC Dropout Conformal,0.9560923855382356,0.3401179507723894,0.05276839834114875,0.00015431464951889045,0.5472009986324287
t+3,GPR Conformal,0.9541500040806333,0.260909878080924,0.05789441204147465,8.177577445128473e-05,0.40058006457368334
t+3,BNN Conformal,0.9541989716804048,0.3873883957650127,0.05685521250372283,0.00012193586955545067,0.5661794778241862
t+3,DER Conformal,0.9560107728719498,0.28450022543371084,0.05993060327315536,0.00012082638755236928,0.4652572162592355
