Time Horizon,Model,Corr,Pval,AURC,Sigma=0.1,Sigma=0.2,Sigma=0.3,Sigma=0.4
t+1,RUE,0.28750113297864804,7.715105666476763e-232,0.024171885098809007,0.01625621390024604,0.020832453283426592,0.02296343505656181,0.024275583688206624
t+1,MC Dropout,0.18295147956039146,1.065675144748872e-92,0.026144670597006592,0.024612072659021447,0.024944777377955325,0.025291340748852975,0.02613421641875188
t+1,GPR,0.17297662941072783,6.395315494791217e-83,0.023825119483702365,0.022191564169798252,0.023846634867400174,0.024638404748808244,0.025095031993886706
t+1,Infer-Noise,0.0583138732034391,1.0484705797252978e-10,0.027622071168776914,0.027172189492299784,0.026214006834464718,0.02742398471277568,0.027194698898537196
t+1,BNN,0.12332953551993306,9.782440545398159e-43,0.049488287370044536,0.05036033516710681,0.046228197814422604,0.045469063581098944,0.04803994937987795
t+1,DER,0.24788640020577263,5.722084922172827e-171,0.024105556082544756,0.021335895473783707,0.022233294983662836,0.023397184895984226,0.024524307102333897
t+2,RUE,0.2302821198923377,3.4904626690898827e-147,0.028314784495789606,0.025775838523379294,0.02598505528736202,0.02727426860017646,0.028491856922719182
t+2,MC Dropout,0.1447110917600379,2.480751331006957e-58,0.029741974168048295,0.02783353970562101,0.028232080921942966,0.028627483844911674,0.029510912076044848
t+2,GPR,0.14757199998568563,1.2974426979427457e-60,0.02787820773222368,0.02621573046616024,0.027799354673713948,0.028641886227813523,0.029180333711519672
t+2,Infer-Noise,0.036786868944768514,4.640705667712761e-05,0.03141663500233711,0.055123020255570344,0.032361048744795534,0.032804881304294625,0.030777805303823548
t+2,BNN,0.11436759945996439,5.903830488888249e-37,0.04982342596142027,0.04930596441221942,0.04677399939752186,0.04632426509109645,0.04848692202725708
t+2,DER,0.17395929240997737,7.38473026177801e-84,0.029767810705265723,0.03175324259171568,0.028018822995765257,0.029137259155944475,0.029934569486464703
t+3,RUE,0.24246209319111164,1.9747953022940156e-163,0.030737485701808696,0.026838020013591316,0.028120016063748934,0.029521676416974684,0.030817309119613164
t+3,MC Dropout,0.14987427506980924,1.7516331515469458e-62,0.032343262767559375,0.0315670879721511,0.030813682048511204,0.031530409115295144,0.03218550128078399
t+3,GPR,0.1461798570328538,1.6945883528769443e-59,0.030315460204213288,0.02900446421091663,0.030054022051428403,0.030998765859779193,0.031608151074477356
t+3,Infer-Noise,0.03038314532801375,0.0007692095272385146,0.034272697665887045,0.039559978168860296,0.035254142966953235,0.03370087363788314,0.034524554177811285
t+3,BNN,0.11393602662628258,1.0922750953371457e-36,0.05002817401960669,0.04858156557374086,0.046217699243134104,0.046660553697801484,0.04862113778216649
t+3,DER,0.20365920788044947,7.149443801229564e-115,0.030935117163577185,0.03791661452398354,0.03010048187364856,0.02954920236839221,0.0303151755613499
