,decoder_depth,decoder_width,encoder_depth,encoder_width,loss,corr,epochs,time/s,best_hyperparameter
0,2,128,2,128,0.0015879430575296283,0.24205220803307087,1127,111.29327011108398,False
1,2,256,2,128,0.0018294957699254155,0.2519194997416234,709,71.53364276885986,False
2,2,512,2,128,0.0021001650020480156,0.2618604529834979,264,29.800122022628784,True
3,3,128,2,128,0.005796368233859539,0.1546784838784301,4,5.144562721252441,False
4,3,256,2,128,0.005798266734927893,0.15589737486500502,3,5.290128231048584,False
5,3,512,2,128,0.005850088782608509,0.14402284186109446,9,5.7116780281066895,False
6,4,128,2,128,0.005794433411210775,0.15474540393408717,4,5.748063802719116,False
7,4,256,2,128,0.005796338897198439,0.15564410986959204,3,5.468308687210083,False
8,4,512,2,128,0.005824946332722902,0.147425436255276,2,5.375648736953735,False
