,num_layers,width,loss,epoch,time/s,best_hyperparameter
0,2,32,0.006776720834654339,76,512.3406701087952,False
1,2,64,0.006770231292924177,90,592.5582966804504,False
2,2,128,0.008211025730150982,157,1004.9263799190521,False
3,2,256,0.020846241368571612,37,263.16677808761597,False
4,3,32,0.006024415864759539,92,594.8006026744843,True
5,3,64,0.006235257350183609,103,675.0517373085022,False
6,3,128,0.01068337261428806,55,380.70507407188416,False
7,3,256,0.029261919465215457,0,44.06819725036621,False
