,Model,t+1 Corr,t+1 Pval,t+1 AURC,t+1 Sigma=0.1,t+1 Sigma=0.2,t+1 Sigma=0.3,t+1 Sigma=0.4,t+2 Corr,t+2 Pval,t+2 AURC,t+2 Sigma=0.1,t+2 Sigma=0.2,t+2 Sigma=0.3,t+2 Sigma=0.4,t+3 Corr,t+3 Pval,t+3 AURC,t+3 Sigma=0.1,t+3 Sigma=0.2,t+3 Sigma=0.3,t+3 Sigma=0.4
0,RUE,0.5149035112609296,1.809789084927275e-198,0.03898409130737501,0.028781897410084877,0.0332022049081122,0.034760558609773375,0.038443328948302685,0.5192237229138448,2.0041337958137393e-202,0.047636041053265424,0.03615256972527449,0.040091974170509026,0.04174894785273824,0.04630995343361946,0.4742835638226718,1.222116340480479e-164,0.04937914491041141,0.03504469802578049,0.0423602891039614,0.0435115439440693,0.04797647998908286
1,MC Dropout,0.37426224895819976,3.038445419252228e-98,0.054973707669756344,0.04156459571419477,0.045380300137884695,0.05125696707568313,0.05585252613641714,0.3849465597110542,2.5079249223850916e-104,0.06857465252616109,0.056686931687214254,0.05633732524579159,0.06245019537459561,0.06767682794336106,0.34096714162068326,7.353726069034529e-81,0.06619607142352875,0.050863144104878875,0.05716947547504784,0.060360291627980685,0.06728879694609381
2,GPR,0.40891902144972764,1.0412235098796143e-118,0.027659373365843037,0.023963612598649254,0.027091360448051,0.029679736843135154,0.031459434662973754,0.37859008800600147,1.062370972092844e-100,0.04290343940426588,0.03601857896783686,0.04216171417534667,0.04672409139937454,0.0491390707289839,0.3512917624986235,4.7670252277985565e-86,0.05614420922813946,0.0469268977354668,0.054865263872277976,0.06120350019684251,0.06440394413527296
3,Infer-Noise,0.0024698836735971915,0.893599685311991,0.06055660828628329,0.058818921964951386,0.0629162066093517,0.05859557642956729,0.059727291617753336,0.029787001320217922,0.10659783019346106,0.07185467284420691,0.004669264316956134,0.04384926427869899,0.07029655016550293,0.07164198911327747,-0.010672244215787866,0.5631676586596893,0.07948259669614127,0.05678984670402876,0.06654796132038059,0.07833931091986296,0.08374716844506402
4,BNN,0.5315892414319958,8.468014328021506e-214,0.06467146417648278,0.03327483077948906,0.04800811270146276,0.06534196486471223,0.07213512106521039,0.5211279811900157,3.714886013739751e-204,0.07795273360451903,0.057061661421712165,0.06497016789435657,0.07173643328238576,0.08063917308725892,0.5477568943154499,1.192043768876343e-229,0.09075627421842489,0.06737675184792928,0.07559553232445117,0.08894197072894437,0.09559000681836494
5,DER,-0.2878138970696236,4.319707212580236e-57,0.08116533130893544,0.0824905004217429,0.07225885109298172,0.06690526864044043,0.06438634672857324,-0.26931059828853043,5.837087636397542e-50,0.0986071060977467,0.11801865263234333,0.10177369691755715,0.08896824226764258,0.08165189566430318,-0.5464449800098665,2.4156729080988472e-228,0.2250815943386135,0.24942641654121755,0.2292139323314606,0.19761528417695523,0.18646202058768332
